"",Message,AID-ALM,,,,,
"",Description,Poll GPS Aiding Almanac Data for a SV,,,,,
"",Firmware,"Supported on:•u-blox 8 / u-blox M8 from protocol version 15 up to version 23.01",,,,,
"",Type,Poll Request,,,,,
"",Comment,"All UBX-AID messages are deprecated; use UBX-MGA messages insteadPoll GPS Aiding Data (Almanac) for an SV by sending this message to the receiver. Thereceiver will return one message of type AID-ALM as defined below.",,,,,
"",Message Structure,Header,Class,ID,Length (Bytes),Payload,Checksum
"",,0xB5 0x62,0x0B,0x30,1,see below,CK_A CK_B
"",Payload Contents:,,,,,,
"",Byte Offset,"NumberFormat",Scaling,Name,Unit,Description,
"",0,U1,-,svid,-,"SV ID for which the receiver shall return itsAlmanac Data (Valid Range: 1 .. 32 or 51, 56,63).",
